date,delta,gamma,vega,theta
2019-09-02,-78837.30015227014,-3976.200351798878,-510.5644587165934,766.764181568081
2019-09-03,-245133.12481503154,-11924.76189651698,-908.8741239136824,1370.8455184011316
2019-09-04,-370287.6382029786,-19091.530077410483,-1363.7110335125776,1859.3008350343223
2019-09-05,-375885.3589204255,-25744.841319703264,-1824.4755203279517,2487.9310972341777
2019-09-06,-504888.0542489606,-29820.277522042783,-2280.5090086886125,3216.3411290231134
2019-09-09,-549433.6390601806,-37746.1947422025,-2522.095484347114,3149.5282589286376
2019-09-10,-597187.6486290814,-40578.87299437386,-2952.0403983258916,3708.3757562805426
2019-09-11,-682847.4460235827,-46666.18001573483,-3338.2320405604787,4065.5447590762474
2019-09-12,-927113.6125918142,-53657.06834791103,-3742.595221239312,4387.227075393107
2019-09-13,-1009190.1654465159,-52309.21240564345,-4146.216378222395,4733.906959731839
2019-09-16,-1361342.3658871457,-55240.96863797457,-4456.861485770666,4955.224516025634
2019-09-17,-1633888.6406378443,-59118.51403545209,-4882.473604534421,5514.160254102162
2019-09-18,-1800034.0655268522,-62954.60325046141,-5148.34195611869,5788.923042199958
2019-09-19,-1799530.724255613,-58650.50522070068,-5072.411671062515,5516.294097606591
2019-09-20,-1922738.5068814356,-62054.43068235086,-4911.623771540268,4906.50981101657
2019-09-23,-2160527.448760002,-76544.6301199448,-5444.566841929705,5450.38900654166
2019-09-24,-2177663.226205865,-77907.0564240282,-5278.995178454332,5162.981645725912
2019-09-25,-2164058.135399005,-84456.4838344259,-5125.636594323703,4989.196838006552
2019-09-26,-2196546.423760617,-84736.9795606823,-5127.677803491024,5184.910042732803
2019-09-27,-2322733.283057319,-92402.84627866329,-5475.387623364332,5401.562332199805
2019-09-30,-2311402.4817337594,-87627.82780728434,-5177.125446186409,5226.239400245527
2019-10-01,-2274409.1941630985,-102231.42321263433,-5208.536312028838,5112.809641388802
2019-10-02,-2511776.600026158,-106225.62273465087,-5657.776467064539,5731.4746813186475
2019-10-03,-2547144.0008170763,-104946.7943326327,-5437.074917636966,5300.571719132748
2019-10-04,-2520770.319347773,-99677.01045558845,-5421.382627394606,4896.477584934167
2019-10-07,-2498123.563545297,-97861.8206731249,-5693.813630357288,5147.884312838701
2019-10-08,-2552389.9269641303,-92882.69309654734,-5655.187634059657,5034.6301932800725
2019-10-09,-2572246.2513558436,-89898.51809292332,-5579.225043464303,4999.354597231364
2019-10-10,-2486879.9274049033,-89473.66766531004,-5579.638475123777,4915.633650347302
2019-10-11,-2484660.112067052,-72711.68981506363,-5439.984396589713,4851.146152836386
2019-10-14,-2543256.827293078,-76357.50986317339,-5798.386965495701,4981.614444067518
