date,equity,open_trades,closed_trades,margin_used,capacity_utilization,capacity_utilization_initial,day_mtm_pnl,theta_pnl_est,delta,gamma,vega,theta,equity_adjusted,drawdown
2006-09-01,9999114.607078211,27,0,108203.94506977315,0.013526690777348593,0.013525493133721644,0.0,666.8139518564839,187139.47032542096,-31534.380677712117,-485.2293336133752,666.8139518564839,,
2006-09-04,9997441.989281937,54,0,215765.06616704032,0.026977534153031075,0.02697063327088004,-720.1397503402986,1206.4490735051406,384700.9502390624,-58470.540633595556,-922.1177918222625,1206.4490735051406,,
2006-09-05,9995200.538346563,81,0,312302.630202343,0.03905657382813315,0.039037828775292875,-1324.1618265560874,1836.2005464270123,579940.436421647,-125757.73587914059,-1319.4216392305925,1836.2005464270123,,
2006-09-06,9996206.850839294,108,0,410163.4887756279,0.05128989111769807,0.05127043609695349,1883.9760350521944,2382.024972841289,770137.7126533049,-190676.26519767073,-1671.4798876443758,2382.024972841289,,
2006-09-07,9997910.443033773,135,0,499096.5150733633,0.06240010324121251,0.06238706438417042,2560.0995804087484,3092.0722348680065,954819.2731418009,-244888.16526655978,-2015.968036168097,3092.0722348680065,,
2006-09-08,10004517.805181121,159,3,557350.2781482292,0.06963732398222001,0.06966878476852865,7434.782623483079,3359.096703939134,1068360.6781854045,-284138.40780475765,-2292.207567328812,3359.096703939134,,
2006-09-11,10018090.127997437,183,6,609306.2469137016,0.07602574931059972,0.0761632808642127,14392.367468492208,3124.1731223898782,1264376.9618459705,-257128.37554275393,-2422.1129962947243,3124.1731223898782,,
2006-09-12,10024095.652093831,207,9,677955.5995006618,0.08454074350326188,0.08474444993758273,6807.637941912499,3254.724128548462,1408188.3278895682,-281342.6375735912,-2658.0867331190907,3254.724128548462,,
2006-09-13,10025341.06545064,231,12,749825.5108676509,0.09349127201413895,0.09372818885845635,2038.0202198248735,3685.872605792081,1506639.9959137011,-338438.31825905264,-2940.9704779153494,3685.872605792081,,
2006-09-14,10032251.261628635,255,15,812067.0229491383,0.10118205298235665,0.1015083778686423,7690.407580276996,4060.8493674387955,1683916.602093603,-322222.16045416094,-3200.945903296781,4060.8493674387955,,
2006-09-15,10033258.531490218,276,21,863445.5619399265,0.1075729234961317,0.10793069524249081,1772.3851548887683,4479.925258783814,1694891.3246030244,-307050.4051798645,-3472.0824644089453,4479.925258783814,,
2006-09-18,10046356.712896043,297,27,936718.594499804,0.11654953896089783,0.1170898243124755,13865.50506131743,4108.065493355716,1719040.6741351443,-230535.03591745716,-3639.3645010865093,4108.065493355716,,
2006-09-19,10052793.249953322,318,33,989643.981356273,0.12305584586662868,0.12370549766953413,7190.76072112435,4338.455971463581,1790369.1864212013,-229393.8917124541,-3910.258788962934,4338.455971463581,,
2006-09-20,10050194.598056111,312,39,954221.7975169882,0.11868200513519807,0.11927772468962353,-2740.9627708534463,4274.205304830101,1599425.52701738,-211957.49526670322,-3836.625181984603,4274.205304830101,,
2006-09-21,10055027.800042802,306,45,923670.5144153554,0.11482694687470475,0.11545881430191943,4625.859951843964,3966.3428149796327,1387665.2906894663,-192364.3010792265,-3747.093001613459,3966.3428149796327,,
2006-09-22,10057777.401618741,324,54,968630.6093775234,0.1203832828440839,0.12107882617219043,3439.603512472861,4392.490532683241,1372581.1580605619,-200967.6470910644,-4072.721002564071,4392.490532683241,,
2006-09-25,10069987.895374687,315,63,921746.068993641,0.11441747479868052,0.11521825862420512,12098.426589068386,3834.5170233114754,1154980.0243659334,-160672.46025175837,-3863.214439465156,3834.5170233114754,,
2006-09-26,10073484.667889884,306,72,873032.9369273721,0.10833303540311144,0.10912911711592152,3321.9025841142325,3650.707390880819,879833.863732588,-130212.84072889033,-3812.567391038295,3650.707390880819,,
2006-09-27,10076000.337485129,300,78,852926.0817803746,0.10581158857836746,0.10661576022254683,2368.5444390167854,3598.816212077718,702581.3175108584,-129450.54363000867,-3770.8738883058345,3598.816212077718,,
2006-09-28,10078835.983158847,321,84,912667.1121012049,0.11319103634911547,0.11408338901265061,3581.418146582825,4062.7195995517595,831946.9033806855,-196356.79381583774,-4026.0593158664155,4062.7195995517595,,
2006-09-29,10083405.107281806,312,93,858539.6467708485,0.10642977714825319,0.10731745584635607,4489.93960183506,3904.0040445671893,613904.6282341147,-178176.67049838684,-3943.332905338247,3904.0040445671893,,
2006-10-02,10096716.879614927,303,102,822626.4303058784,0.10184330710098757,0.1028283037882348,13181.517592547618,3695.34113944592,440304.5165018497,-142086.19263170694,-3776.7298572461195,3695.34113944592,,
2006-10-03,10103198.970689278,324,108,863822.0514602109,0.1068748192981096,0.10797775643252637,7256.649333610541,4385.516257773292,681483.3454830591,-211692.71739393467,-4011.163460435882,4385.516257773292,,
2006-10-04,10108412.96739724,318,114,839616.3740220809,0.1038264335769254,0.10495204675276011,5163.700651703696,4371.808920013086,576072.1675047516,-199445.61460662383,-3939.2022132114785,4371.808920013086,,
2006-10-05,10111385.15112373,309,123,801442.439293691,0.09907673717737654,0.10018030491171137,2852.116215235965,4470.777585800489,288160.61270171916,-188909.5475707655,-3914.47475295591,4470.777585800489,,
2006-10-06,10116499.241494333,300,132,764342.649897054,0.09444258231666597,0.09554283123713174,5010.469733938891,3894.233602231095,151434.354308738,-162852.3583742329,-3867.2386329309097,3894.233602231095,,
2006-10-09,10126002.830480123,318,141,832063.5756974855,0.10271372495483903,0.10400794696218568,10307.98835338785,3786.524189567611,294749.28028147697,-204356.21097097726,-4069.620675691787,3786.524189567611,,
2006-10-10,10134982.229399292,312,147,789652.508245404,0.0973919453399238,0.0987065635306755,8951.2323766479,3578.8232300408363,146067.9277992754,-183934.2516866584,-3930.588092729053,3578.8232300408363,,
2006-10-11,10141269.481684666,309,150,782838.4401530864,0.09649167216773355,0.09785480501913581,6197.420244318389,3543.1325651248044,96959.06512422729,-180501.8941752527,-3849.2951565590092,3543.1325651248044,,
2006-10-12,10146226.47857621,303,156,764569.9977555337,0.09419388569853109,0.09557124971944171,4868.160583017955,3424.561320123542,-39198.851131109834,-172147.4783712055,-3767.7513743036498,3424.561320123542,,
2006-10-13,10148098.672251422,324,162,870450.5232191681,0.10721842476750043,0.108806315402396,2691.1000659344745,3974.7007114040443,-133109.1558540763,-272394.26330905367,-4160.558465209267,3974.7007114040443,,
