date,equity,open_trades,closed_trades,margin_used,capacity_utilization,capacity_utilization_initial,day_mtm_pnl,theta_pnl_est,delta,gamma,vega,theta,equity_adjusted,drawdown
2006-09-01,9998959.76279773,27,0,72135.56370297415,0.009017883536665825,0.009016945462871769,0.0,444.54098035754765,124760.06169166422,-21022.84386840562,-323.4831391614812,444.54098035754765,,
2006-09-04,9997394.77453799,54,0,143843.30606032166,0.01798509878126838,0.01798041325754021,-480.0917450647721,804.3006049259848,256469.3825931009,-38980.42500088975,-614.7423702866969,804.3006049259848,,
2006-09-05,9995450.628916027,81,0,208203.84440923075,0.02603732589690778,0.026025480551153845,-882.7777244792574,1224.1501178904139,386634.3651951895,-83840.36646934974,-879.6198983693841,1224.1501178904139,,
2006-09-06,9995671.738604426,108,0,273441.5060604628,0.03419498874252748,0.03418018825755785,1256.0254536373945,1588.0110095263774,513428.2766016269,-127117.16961394068,-1114.3123253780916,1588.0110095263774,,
2006-09-07,9996357.621824494,135,0,332720.8903701856,0.04160526550738022,0.0415901112962732,1706.662473541509,2061.3075345397574,636533.97066502,-163250.63975592286,-1343.9319658151928,2061.3075345397574,,
2006-09-08,10000312.3510147,159,3,371532.38310079876,0.04644009732644758,0.04644154788759985,4956.136250378695,2239.161518997521,712172.8299124476,-189396.74016275,-1527.9955039575746,2239.161518997521,,
2006-09-11,10008907.956107737,183,6,406116.5861473878,0.05071939265606434,0.05076457326842348,9592.181937879945,2082.2165047360163,842720.9959786383,-171351.56128911857,-1614.406173231823,2082.2165047360163,,
2006-09-12,10012459.972021192,207,9,451811.7538494807,0.05640618727965242,0.056476469231185086,4536.642776586032,2168.882485550459,938419.8826741093,-187449.2155499844,-1771.4762291663142,2168.882485550459,,
2006-09-13,10012840.462028435,231,12,499648.8821621365,0.06237601658302512,0.06245611027026706,1358.7471961165447,2455.853209181687,1003877.9735669559,-225455.4096669923,-1959.7974297112783,2455.853209181687,,
2006-09-14,10016992.226071857,255,15,541054.7489078037,0.06751711700189383,0.06763184361347546,5121.795661476853,2705.3224444966627,1121835.4054923223,-214639.43536638308,-2132.7923147867423,2705.3224444966627,,
2006-09-15,10017213.837314723,276,21,575218.9804494457,0.0717788136740578,0.0719023725561807,1181.5505243562102,2984.13701083822,1128967.4307812508,-204512.9596511212,-2313.2219727076913,2984.13701083822,,
2006-09-18,10025488.777581938,297,27,623937.2103460305,0.07779386424296099,0.07799215129325382,9236.456285800014,2735.9867155082666,1144853.3730835156,-153520.12935168287,-2424.3011882635747,2735.9867155082666,,
2006-09-19,10029323.158511527,318,33,659085.7488989771,0.0821448439842666,0.08238571861237214,4787.187970261048,2888.86437710482,1192159.7232208957,-152732.98624969795,-2604.3194653957444,2888.86437710482,,
2006-09-20,10027593.606170872,312,39,635488.901610657,0.07921752298821524,0.07943611270133212,-1824.394972344936,2846.1342893526426,1064951.5710705547,-141124.06394412075,-2555.3048810506934,2846.1342893526426,,
2006-09-21,10030812.098797252,306,45,615142.100517545,0.07665656759128503,0.07689276256469313,3080.4149037265934,2641.1838517651636,923912.120649946,-128079.16428819479,-2495.693418716952,2641.1838517651636,,
2006-09-22,10032192.441589568,324,54,644985.7348926442,0.08036450390180717,0.08062321686158053,2290.463256453332,2924.4399925371295,913624.0678599608,-133784.21805154264,-2712.174124658604,2924.4399925371295,,
2006-09-25,10040322.606665961,315,63,613767.696763793,0.07641284558380386,0.07672096209547413,8055.483100018512,2553.1957800961695,768714.8822852364,-106964.50252532418,-2572.7199483848153,2553.1957800961695,,
2006-09-26,10042650.877123967,306,72,581337.9842033943,0.07235863211271451,0.07266724802542428,2211.8458666839733,2430.9343268679513,585529.3562166806,-86702.10235033518,-2539.011177653095,2430.9343268679513,,
2006-09-27,10044325.985184232,300,78,567939.379398309,0.07067913021690572,0.07099242242478863,1577.150477529519,2396.4274200812188,467440.00538958976,-86194.33765898578,-2511.2584448818325,2396.4274200812188,,
2006-09-28,10045763.296241133,321,84,607587.570026566,0.07560246445557672,0.07594844625332076,2384.77146900648,2704.5768865706114,553217.1630717621,-130650.74672097595,-2680.7173746828184,2704.5768865706114,,
2006-09-29,10048803.577424036,312,93,571563.7336126238,0.07109848068091373,0.07144546670157798,2987.500483354737,2599.063637601727,408108.28238780954,-118566.61814517726,-2625.6714448235234,2599.063637601727,,
2006-10-02,10057666.497938838,303,102,547648.0061510536,0.06806350238687144,0.0684560007688817,8776.230425561145,2460.5521396687896,292479.74835139135,-94584.20042594627,-2514.7999022785784,2460.5521396687896,,
2006-10-03,10061531.610341515,324,108,574909.9292753973,0.07142425620922481,0.07186374115942466,4831.983552853481,2919.12100492386,452648.07758154895,-140811.59507559257,-2670.2597732449494,2919.12100492386,,
2006-10-04,10065001.183137178,318,114,558784.3102237257,0.06939695038982067,0.06984803877796572,3436.0148116637533,2910.300809933333,382401.7056404132,-132681.64852516315,-2622.405125879142,2910.300809933333,,
2006-10-05,10066979.301868502,309,123,533393.4875955754,0.06623057816069187,0.06667418594944692,1898.2717254637619,2976.3708056791165,190831.3209751822,-125688.07186151738,-2605.976481200003,2976.3708056791165,,
2006-10-06,10070384.183517009,300,132,508696.3859473318,0.06314262403960158,0.06358704824341647,3335.9671718306467,2592.189862810242,99857.7450179606,-108362.52258081888,-2574.5370217639643,2592.189862810242,,
2006-10-09,10076257.895358441,318,141,553542.2322508498,0.06866912275362602,0.06919277903135623,6860.663131488856,2519.0516447581,194612.04348789237,-135851.09953265096,-2708.5423730249695,2519.0516447581,,
2006-10-10,10082229.433542669,312,147,525360.8513095247,0.06513450903548382,0.06567010641369059,5952.719687915641,2381.203478436491,95855.46002992996,-122305.38400919198,-2616.096929880393,2381.203478436491,,
2006-10-11,10086414.494934617,309,150,520821.6721210894,0.06454494711458732,0.06510270901513618,4125.357037294252,2357.5115766401527,63140.99576806531,-120022.69069633051,-2562.007525997858,2357.5115766401527,,
2006-10-12,10089712.083831783,303,156,508675.6949675136,0.06301910435366125,0.0635844618709392,3238.551478681031,2278.8192872914997,-27437.31126604475,-114478.58582578032,-2507.789913091811,2278.8192872914997,,
2006-10-13,10090505.954303952,324,162,578833.6968461154,0.07170523701529836,0.07235421210576443,1790.684098861851,2643.372394749033,-90105.11658828222,-180909.26661716038,-2768.1074418576654,2643.372394749033,,
2006-10-16,10096077.16918244,315,171,554233.0750812874,0.06861985425055048,0.06927913438516092,5573.128912061941,2410.923497282335,-266467.16682595655,-149910.9132196652,-2657.2820310012653,2410.923497282335,,
2006-10-17,10098370.879619664,312,174,541051.4540232121,0.0669726162359455,0.06763143175290151,2242.065348358856,2290.469795267524,-299169.28011257004,-112831.37848804692,-2618.152820044851,2290.469795267524,,
2006-10-18,10101836.532382801,309,177,532383.6978514281,0.0658770927623903,0.0665479622314285,3415.922359691295,2249.8321279513502,-297761.7639540931,-131153.6448023114,-2591.772828660643,2249.8321279513502,,
2006-10-19,10104083.24140797,303,183,519938.3565255815,0.06432280199291117,0.06499229456569769,2196.143661588711,2138.6050597456006,-387109.99901687464,-90877.64529624139,-2561.436452937082,2138.6050597456006,,
2006-10-20,10106132.670035182,300,186,494832.60773776966,0.061204496306108636,0.06185407596722121,1996.9821347162865,2152.480504068562,-363831.8437143566,-87408.28157417319,-2537.2485326276746,2152.480504068562,,
2006-10-23,10111504.925287781,321,192,551534.8104361943,0.06818159296160571,0.0689418513045243,6379.800975684043,2634.4784721276774,-318876.7896431085,-111067.70403574748,-2738.68707985524,2634.4784721276774,,
2006-10-24,10117371.66054885,318,195,544638.4906506606,0.06729001722532288,0.06807981133133258,5878.711808031322,2513.644438754859,-377397.0730174982,-104465.21629034214,-2669.113952885389,2513.644438754859,,
2006-10-25,10120408.799456075,318,195,547333.2078586246,0.06760265552316934,0.06841665098232808,2984.1601407798953,2465.243602282876,-395206.28855949856,-94858.99093801006,-2620.250845400388,2465.243602282876,,
2006-10-26,10122381.236837326,318,195,552525.9072043226,0.06823072238101109,0.06906573840054032,1920.873311016588,2401.29695260201,-430048.37524704356,-95514.46740726396,-2578.8143171293664,2401.29695260201,,
2006-10-27,10124639.871400269,315,198,534389.6882234899,0.06597638224805104,0.06679871102793623,2201.8849914054526,2361.3814836942947,-422958.67119042063,-91643.55331547589,-2550.513189741772,2361.3814836942947,,
2006-10-30,10130910.207983488,306,207,497092.78578635905,0.06133367777194315,0.062136598223294884,6212.5305204905435,2302.1251113437315,-519098.1766522633,-86337.13038112463,-2474.7949061972326,2302.1251113437315,,
2006-10-31,10133087.586284302,303,210,495437.8638057563,0.06111635022235955,0.06192973297571954,2138.691397735915,2174.6256710625216,-538939.1981567483,-79577.90120222776,-2441.6481715290574,2174.6256710625216,,
2006-11-01,10132804.658899596,303,210,500032.383358828,0.06168484444724441,0.0625040479198535,-318.9023455946121,2179.6638505567757,-572471.4306509865,-77054.83141536523,-2437.6161179560995,2179.6638505567757,,
2006-11-02,10134506.945458684,300,213,497416.4466332057,0.06135183108933831,0.06217705582915071,1665.8020244957647,2062.9430549427707,-626554.4183870505,-71980.66249354232,-2411.1748392602603,2062.9430549427707,,
2006-11-03,10135533.806988074,321,219,555631.0563615605,0.06852513480573583,0.06945388204519506,2044.6099776681704,2423.0672557809207,-460220.2535619069,-72013.32561456025,-2637.067105016693,2423.0672557809207,,
2006-11-06,10142931.446827946,309,231,527549.8101153566,0.06501446510815422,0.06594372626441958,7411.9455933650715,2172.29084478619,-481799.64783647645,-67240.61757879089,-2526.5656289508606,2172.29084478619,,
2006-11-07,10146925.894970594,306,234,520503.43050670106,0.06412082781208306,0.06506292881333763,3946.669004948237,1938.0856575374191,-451913.460542652,-66822.80192794997,-2482.6851892212894,1938.0856575374191,,
2006-11-08,10150026.897573562,303,237,509672.32635520335,0.06276736154229356,0.06370904079440042,3048.949386625751,1943.8404717331555,-466795.1971631519,-67752.44191074684,-2460.1127429266394,1943.8404717331555,,
