date,theta_pnl_est
2006-09-01,1957.1121999434072
2006-09-04,4064.130346745984
2006-09-05,5668.060595922111
2006-09-06,7836.117514852631
2006-09-07,10285.932930029947
2006-09-08,11692.314452813549
2006-09-11,14055.13133078247
2006-09-12,15198.721856068083
2006-09-13,16238.985502307869
2006-09-14,17587.412994699785
2006-09-15,17363.938714209824
2006-09-18,18919.13296716151
2006-09-19,20663.917595064107
2006-09-20,18703.770987074786
2006-09-21,16887.620895379245
2006-09-22,16830.803236820113
2006-09-25,14745.290340632324
2006-09-26,13112.115680740428
2006-09-27,11659.529708189077
2006-09-28,12890.63096109444
2006-09-29,12136.09433401602
2006-10-02,10716.257802176575
2006-10-03,13699.655726808545
2006-10-04,13738.811464220602
2006-10-05,11115.177522682843
2006-10-06,10256.8323891539
2006-10-09,10469.925864751212
2006-10-10,10064.398557566905
2006-10-11,9686.473673045359
2006-10-12,8640.662402739796
2006-10-13,10202.089726752114
2006-10-16,8965.887374941683
2006-10-17,8894.101267496442
2006-10-18,8627.925986036194
2006-10-19,7992.16820943557
2006-10-20,7264.407041175377
2006-10-23,9004.298429574777
2006-10-24,8815.791272575167
2006-10-25,8756.31695366222
2006-10-26,8409.316772066357
2006-10-27,8010.330514222349
2006-10-30,6815.2427422704095
2006-10-31,6491.775241070828
2006-11-01,6248.446791256272
2006-11-02,5884.24776660625
2006-11-03,7618.984092512339
2006-11-06,7130.7473741701915
2006-11-07,6919.344508676514
2006-11-08,7014.927351759817
2006-11-09,6081.790250900173
2006-11-10,7497.558998653975
2006-11-13,7545.71012565831
2006-11-14,7643.095512088945
2006-11-15,7523.827938934953
2006-11-16,7152.898788881297
2006-11-17,8179.988497011004
2006-11-20,8243.133614894125
2006-11-21,7798.602525888725
2006-11-22,7689.616021418806
2006-11-23,6970.496296409501
2006-11-24,5963.046415871942
2006-11-27,5710.754862327946
2006-11-28,5272.9312114923105
2006-11-29,5289.783374489072
2006-11-30,4528.853027126902
2006-12-01,6165.679463983534
2006-12-04,5847.535018272202
2006-12-05,5862.848460959322
2006-12-06,6121.609249627104
2006-12-07,5593.670923969065
2006-12-08,7019.13792518889
2006-12-11,6930.308617239454
2006-12-12,6912.2436410095825
2006-12-13,6902.8706125100825
2006-12-14,8593.985007221565
2006-12-15,7790.041190647515
2006-12-18,7999.950797961688
2006-12-19,7978.614320724365
2006-12-20,8337.694781473463
2006-12-21,7073.686409797014
2006-12-22,7804.254409451962
2006-12-25,8176.721107971418
2006-12-26,8074.137669907754
2006-12-27,7894.283210265513
2006-12-28,6796.456960661395
2006-12-29,6114.223159624109
2007-01-01,5701.316584010206
2007-01-02,7512.075746307848
2007-01-03,8079.879713296707
2007-01-04,7435.797793246579
2007-01-05,7677.198884611653
2007-01-08,9989.85206036107
2007-01-09,8241.64662152166
2007-01-10,8409.575708408063
2007-01-11,8338.185580172347
2007-01-12,7526.698610609347
2007-01-15,8817.55331028786
2007-01-16,8639.81453705115
2007-01-17,8606.604109780003
2007-01-18,8643.27536014448
2007-01-19,8322.628882772386
2007-01-22,8996.526921221914
2007-01-23,8815.968586541561
2007-01-24,8872.055649124879
2007-01-25,9005.036840591487
2007-01-26,8639.0855088896
2007-01-29,7083.1847636165
2007-01-30,6939.606847297569
2007-01-31,8555.936231807971
2007-02-01,8224.986137622484
2007-02-02,8357.43736308891
2007-02-05,7621.684638454396
2007-02-06,7112.109533343185
2007-02-07,6465.200786413846
2007-02-08,8209.52159879366
2007-02-09,8002.73784258562
2007-02-12,7979.551144204138
2007-02-13,7511.257722981284
2007-02-14,6975.748528625814
2007-02-15,6376.962189749038
2007-02-16,6422.197921878124
2007-02-19,5947.462383769617
2007-02-20,7094.217515179527
2007-02-21,6057.234318969099
2007-02-22,5958.646515875687
2007-02-23,5651.187824269257
2007-02-26,5101.345023490108
2007-02-27,5485.790492770577
2007-02-28,5095.616834389046
2007-03-01,5123.023694895052
2007-03-02,5570.910209063229
2007-03-05,7709.988936862404
2007-03-06,7181.522479726146
2007-03-07,7012.356028379138
2007-03-08,6850.118374562584
2007-03-09,9043.851164289577
2007-03-12,8076.674012214472
2007-03-13,8216.53297316227
2007-03-14,10491.408060509797
2007-03-15,9989.28801336988
2007-03-16,8949.526974824925
2007-03-19,8595.139448159294
2007-03-20,7638.500178785341
2007-03-21,9428.496849032248
2007-03-22,9071.0572108163
2007-03-23,9085.149699583295
2007-03-26,8566.778269705444
2007-03-27,7959.295133958738
2007-03-28,6923.291641175863
2007-03-29,6699.853002204837
2007-03-30,8686.937330497623
2007-04-02,8149.821479584852
2007-04-03,7538.940115604534
2007-04-04,7114.749541016762
2007-04-05,6558.48532807112
2007-04-06,6093.472347130976
2007-04-09,7302.088933482817
2007-04-10,6974.034671304983
2007-04-11,6898.450496996776
2007-04-12,6735.640946252188
2007-04-13,7870.33683240666
2007-04-16,7307.300356206248
2007-04-17,7054.102582272306
2007-04-18,6830.794014080619
2007-04-19,6657.797490043863
2007-04-20,5924.085494665208
2007-04-23,7863.514668399835
2007-04-24,7999.882218279262
2007-04-25,8001.086350078617
2007-04-26,8220.609596758817
2007-04-27,7852.828019960845
2007-04-30,6741.235307467712
2007-05-01,6820.420110869383
2007-05-02,6861.155562827429
2007-05-03,6822.611613574224
2007-05-04,8308.558368380258
2007-05-07,7479.940441084175
2007-05-08,7527.261566050193
2007-05-09,7589.030428201262
2007-05-10,7890.870153803268
