date,equity,open_trades,closed_trades,margin_used,capacity_utilization,capacity_utilization_initial,day_mtm_pnl,theta_pnl_est,delta,gamma,vega,theta,equity_adjusted,drawdown
2019-09-02,9996460.140300674,27,0,98245.87492145842,0.012285083112243493,0.012280734365182303,0.0,766.764181568081,-78837.30015227014,-3976.200351798878,-510.5644587165934,766.764181568081,,
2019-09-03,9988895.242510388,54,0,188424.09792539894,0.02357919636641977,0.023553012240674867,-3978.1787277174562,1370.8455184011316,-245133.12481503154,-11924.76189651698,-908.8741239136824,1370.8455184011316,,
2019-09-04,9984123.76681647,81,0,288530.6125825849,0.036123677365353005,0.03606632657282311,-1181.6030764706948,1859.3008350343223,-370287.6382029786,-19091.530077410483,-1363.7110335125776,1859.3008350343223,,
2019-09-05,9989870.411393562,108,0,373466.9671812799,0.0467307071815637,0.04668337089765999,9347.892843049645,2487.9310972341777,-375885.3589204255,-25744.841319703264,-1824.4755203279517,2487.9310972341777,,
2019-09-06,9990779.267711433,135,0,465408.8819173792,0.058229802381570064,0.0581761102396724,4512.070184509845,3216.3411290231134,-504888.0542489606,-29820.277522042783,-2280.5090086886125,3216.3411290231134,,
2019-09-09,10001458.474629404,159,3,533099.3029409286,0.06662769538728226,0.06663741286761608,14292.650323919393,3149.5282589286376,-549433.6390601806,-37746.1947422025,-2522.095484347114,3149.5282589286376,,
2019-09-10,9996182.919191329,183,6,602814.7792231698,0.07538062079499445,0.07535184740289622,-1669.5977984635856,3708.3757562805426,-597187.6486290814,-40578.87299437386,-2952.0403983258916,3708.3757562805426,,
2019-09-11,9999959.580523677,207,9,671748.5067255117,0.08396890273859657,0.08396856334068897,7382.984861672334,4065.5447590762474,-682847.4460235827,-46666.18001573483,-3338.2320405604787,4065.5447590762474,,
2019-09-12,10029001.664172575,231,12,748733.0024614758,0.09332097893854133,0.09359162530768447,32663.326914684112,4387.227075393107,-927113.6125918142,-53657.06834791103,-3742.595221239312,4387.227075393107,,
2019-09-13,10027432.904452968,255,15,816374.2890732029,0.10176760802740804,0.10204678613415036,2060.9507042172168,4733.906959731839,-1009190.1654465159,-52309.21240564345,-4146.216378222395,4733.906959731839,,
2019-09-16,9998667.809967047,276,21,893433.2345068658,0.11169403408125257,0.11167915431335823,-25130.775654934812,4955.224516025634,-1361342.3658871457,-55240.96863797457,-4456.861485770666,4955.224516025634,,
2019-09-17,9999854.50188237,297,27,967881.2304039393,0.12098691413731888,0.1209851538004924,4827.237285735487,5514.160254102162,-1633888.6406378443,-59118.51403545209,-4882.473604534421,5514.160254102162,,
2019-09-18,10018510.247183237,318,33,1031443.1867676039,0.12869218592874127,0.1289303983459505,22302.07368376539,5788.923042199958,-1800034.0655268522,-62954.60325046141,-5148.34195611869,5788.923042199958,,
2019-09-19,10031051.018999899,312,39,1004796.2670480927,0.12521074127039375,0.1255995333810116,12647.970012974478,5516.294097606591,-1799530.724255613,-58650.50522070068,-5072.411671062515,5516.294097606591,,
2019-09-20,10039969.969024278,306,45,985701.8605853657,0.12272221227086497,0.12321273257317071,8982.343798954842,4906.50981101657,-1922738.5068814356,-62054.43068235086,-4911.623771540268,4906.50981101657,,
2019-09-23,10094755.688336654,324,54,1060035.9994357708,0.13126072984863346,0.13250449992947136,58432.92317216656,5450.38900654166,-2160527.448760002,-76544.6301199448,-5444.566841929705,5450.38900654166,,
2019-09-24,10103063.731044808,315,63,1022733.7044118542,0.1265375696469659,0.12784171305148176,8420.876717079222,5162.981645725912,-2177663.226205865,-77907.0564240282,-5278.995178454332,5162.981645725912,,
2019-09-25,10115830.762887683,306,72,963346.7342790383,0.11903949819589997,0.12041834178487978,12836.702700677884,4989.196838006552,-2164058.135399005,-84456.4838344259,-5125.636594323703,4989.196838006552,,
2019-09-26,10120729.075331792,300,78,938057.2574978009,0.11585840932450908,0.11725715718722511,4974.137961400958,5184.910042732803,-2196546.423760617,-84736.9795606823,-5127.677803491024,5184.910042732803,,
2019-09-27,10136038.563002301,321,84,1004295.7287670613,0.12385209992600751,0.12553696609588266,18977.528958469,5401.562332199805,-2322733.283057319,-92402.84627866329,-5475.387623364332,5401.562332199805,,
2019-09-30,10085370.297768753,312,93,948637.5587374293,0.11757594549444829,0.11857969484217866,-50531.162387691074,5226.239400245527,-2311402.4817337594,-87627.82780728434,-5177.125446186409,5226.239400245527,,
2019-10-01,10175587.257986827,306,99,933533.1170319084,0.11467803938037795,0.11669163962898854,90308.84458201985,5112.809641388802,-2274409.1941630985,-102231.42321263433,-5208.536312028838,5112.809641388802,,
2019-10-02,10178689.588424256,324,108,1006449.8389412448,0.12359766822119135,0.1258062298676556,6786.120982507306,5731.4746813186475,-2511776.600026158,-106225.62273465087,-5657.776467064539,5731.4746813186475,,
2019-10-03,10189336.142922193,318,114,988940.1182593469,0.121320479615629,0.12361751478241836,10774.442536809027,5300.571719132748,-2547144.0008170763,-104946.7943326327,-5437.074917636966,5300.571719132748,,
2019-10-04,10188575.07330941,309,123,946867.6450463422,0.11616782011142218,0.11835845563079277,-676.7642970881607,4896.477584934167,-2520770.319347773,-99677.01045558845,-5421.382627394606,4896.477584934167,,
2019-10-07,10200138.522211032,324,135,980858.0096343843,0.12020155504488295,0.12260725120429804,15253.777128411512,5147.884312838701,-2498123.563545297,-97861.8206731249,-5693.813630357288,5147.884312838701,,
2019-10-08,10194475.004942792,321,138,979854.3614857274,0.12014526998823442,0.12248179518571592,-5543.910043384618,5034.6301932800725,-2552389.9269641303,-92882.69309654734,-5655.187634059657,5034.6301932800725,,
2019-10-09,10191479.567419171,312,147,941140.1357091761,0.11543222569933297,0.11764251696364701,-2918.5979480600054,4999.354597231364,-2572246.2513558436,-89898.51809292332,-5579.225043464303,4999.354597231364,,
2019-10-10,10193858.1316067,309,150,925763.030049661,0.11351970692765412,0.11572037875620764,2463.749935459624,4915.633650347302,-2486879.9274049033,-89473.66766531004,-5579.638475123777,4915.633650347302,,
2019-10-11,10120684.843191933,303,156,901369.2460544012,0.11132760035759114,0.11267115575680015,-73082.63445055057,4851.146152836386,-2484660.112067052,-72711.68981506363,-5439.984396589713,4851.146152836386,,
